"ID","cub_AIC","cla_AIC","gom_AIC","bar_AIC","bucha_AIC","cla_deltaAIC","gom_deltaAIC","bar_deltaAIC","bucha_deltaAIC","cub_deltaAIC","SampleSize","cla_AICc","gom_AICc","bar_AICc","bucha_AICc","cub_AICc","cla_deltaAICc","gom_deltaAICc","bar_deltaAICc","bucha_deltaAICc","cub_deltaAICc","cla_AIC_Wt","gom_AIC_Wt","bar_AIC_Wt","bucha_AIC_Wt","cub_AIC_Wt","cla_AICc_Wt","gom_AICc_Wt","bar_AICc_Wt","bucha_AICc_Wt","cub_AICc_Wt"
50,-20.798433345826,4.38854655063962,-24.7810797083949,-45.1865751950866,13.2405243617693,49.5751217457262,20.4054954866917,0,58.4270995568559,24.3881418492606,15,6.5703647324578,-22.5992615265767,-41.1865751950866,19.9071910284359,-16.798433345826,29.1696262590345,0,-18.5873136685099,42.5064525550127,5.8008281807507,1.71743692963314e-11,3.7066762804586e-05,0.999957873062841,2.05446259473454e-13,5.06015697481794e-06,4.26255607294584e-11,9.19970638635803e-05,0.999902943014448,5.41520711691623e-14,5.05987900844056e-06
51,-24.6015289645881,-34.9701033387964,11.5993085317582,-35.6111330481771,7.02295716086768,0.641029709380753,47.2104415799353,0,42.6340902090448,11.009604083589,13,-32.3034366721297,14.2659751984248,-30.6111330481771,15.5943857322963,-19.6015289645881,0,46.5694118705545,1.69230362395258,47.897822404426,12.7019077075416,0.419561483891494,3.23874169471639e-11,0.578087322677294,3.19240796815703e-10,0.00235119307958364,0.698905814759567,5.39509819144157e-11,0.299874537348946,2.77676208720858e-11,0.00121964780976831
52,-23.8403320507282,-5.66736520395295,6.10817477261395,-45.0985198421801,8.39500982410419,39.4311546382272,51.2066946147941,0,53.4935296662843,21.2581877914519,12,-2.66736520395295,9.10817477261395,-39.3842341278944,18.3950098241042,-18.1260463364425,0,11.7755399765669,-36.7168689239415,21.0623750280571,-15.4586811324895,2.73919563607883e-09,7.59621125966566e-12,0.999975796287001,2.4211244445945e-12,2.42009637858795e-05,1.06419864513913e-08,2.95118670030407e-11,0.999975788364624,2.84044298599872e-13,2.42009635941457e-05
53,-27.4509829538949,-26.0126423201253,-5.16451155479098,-24.7138649059346,-24.4353660364111,1.43834063376963,22.2864713991039,2.73711804796026,3.01561691748381,0,13,-23.3459756534586,-2.49784488812432,-19.7138649059346,-15.8639374649825,-22.4509829538949,0,20.8481307653343,3.63211074752396,7.48203818847609,0.894992699563705,0.248164366421655,7.37267936823818e-06,0.129632378570721,0.112781594069105,0.50941428825915,0.547749423208474,1.62730086099141e-05,0.0891002866544604,0.0129980433060956,0.35013597382236
54,-18.9583061912412,-20.1517136752007,13.4333393736888,-18.1818169180931,4.24520285207694,0,33.5850530488895,1.96989675710764,24.3969165272777,1.19340748395955,14,-17.7517136752007,15.8333393736888,-13.7373724736487,11.7452028520769,-14.5138617467967,0,33.5850530488895,4.01434120155209,29.4969165272777,3.237851928404,0.519726953832583,2.64772961946875e-08,0.194096451138284,2.61849729113822e-06,0.286173950054545,0.750480235956536,3.82329362546029e-08,0.100840767710889,2.95233217130446e-07,0.148678662866422
55,-31.3135695718886,-43.0552523370934,-3.13608897393545,-42.7254390284732,-1.13608897393545,0,39.919163363158,0.329813308620288,41.919163363158,11.7416827652049,14,-40.6552523370935,-0.736088973935449,-38.2809945840287,6.36391102606455,-26.8691251274441,0,39.919163363158,2.37425775306473,47.019163363158,13.7861272096493,0.540308833578347,1.15959379433801e-09,0.458167224193739,4.2659071704694e-10,0.00152394064172925,0.765631841190753,1.64317493369955e-09,0.23359119382899,4.71996078593983e-11,0.00077696328988283
56,-38.5700862921467,-64.5254479258241,4.74778568928848,-64.6044199203222,-45.2828514574964,0.0789719944980618,69.3522056096106,0,19.3215684628258,26.0343336281755,16,-62.5254479258241,6.74778568928848,-60.9680562839585,-39.2828514574964,-34.933722655783,0,69.2732336151126,1.55739164186557,23.2425964683277,27.5917252700411,0.490113300963947,4.44431607039435e-16,0.509853070974368,3.24952406037799e-05,1.13282108049297e-06,0.685394271156515,6.21511141988207e-16,0.314598879854307,6.14999516616999e-06,6.98994010798753e-07
57,-6.86065225807551,-34.8272680713553,-32.5307950183488,-90.2655843547566,4.70971129378833,55.4383162834013,57.7347893364078,0,94.9752956485449,83.4049320966811,16,-32.8272680713553,-30.5307950183488,-86.6292207183929,10.7097112937883,-3.22428862171187,0,2.29647305300652,-53.8019526470376,43.5369793651437,29.6029794496435,9.15635402477846e-13,2.90435559843433e-13,0.999999999998794,2.3789022186398e-21,7.74192773952602e-19,2.07517355761098e-12,6.58236010038523e-13,0.999999999997267,7.29658214920196e-22,7.74192773951423e-19
58,-10.54998408742,6.88503974795445,1.91580104451791,-47.8672799301857,2.28234792542099,54.7523196781401,49.7830809747036,0,50.1496278556067,37.3172958427657,16,8.88503974795445,3.91580104451791,-44.230916293822,8.28234792542099,-6.91362045105634,4.96923870343654,0,-48.1467173383399,4.36654688090309,-10.8294214955742,1.29028260619053e-12,1.54789435648001e-11,0.999999992088058,1.28868470181329e-11,7.88228556119559e-09,2.92426476623472e-12,3.50810970154214e-11,0.999999992075756,3.95266090275687e-12,7.8822855610986e-09
59,-12.8468523433154,1.98180549305746,15.2518194031773,-18.4772050818323,-50.4360774236385,20.4590105748898,33.7290244850097,0,-31.9588723418062,5.63035273851694,17,3.82795933921131,17.0979732493312,-15.143871748499,-44.9815319690931,-9.51351900998207,0,13.2700139101198,-18.9718310877103,-48.8094913083044,-13.3414783491934,4.14573268203952e-12,5.44570845888158e-15,1.14873272707662e-07,0.999999878242339,6.88023752290364e-09,2.51856681899504e-11,3.30831283210291e-14,3.31767816041569e-07,0.999999648336012,1.98709527727136e-08
60,-12.5735644403457,12.0510002834001,3.69824560174212,-46.2817246771233,2.20000877180555,58.3327249605234,49.9799702788654,0,48.4817334489289,33.7081602367776,16,14.0510002834001,5.69824560174212,-42.6453610407597,8.20000877180555,-8.9372008039821,8.35275468165798,0,-48.3436066425018,2.50176317006342,-14.6354464057242,2.15382144506468e-13,1.40277278071251e-11,0.999999952052726,2.96705313711409e-11,4.79033610785833e-08,4.88136795337593e-13,3.1792097313027e-11,0.999999952055258,9.1005619257721e-12,4.79033610787046e-08
61,-11.8286127469675,-34.9078889503159,-2.48321869085884,-74.1906174566451,13.1120860103249,39.2827285063292,71.7073987657863,0,87.30270346697,62.3620047096776,15,-32.7260707684978,-0.301400509040654,-70.1906174566451,19.7787526769915,-7.82861274696753,0,32.4246702594571,-37.4645466881474,52.5048234454893,24.8974580215302,2.95028442462589e-09,2.68494998992545e-16,0.999999997049687,1.10270365288623e-19,2.87251784800893e-14,7.32279792805198e-09,6.66422059481347e-16,0.999999992677173,2.9066952581961e-20,2.8725178354488e-14
