,ID,a,b,c,d,chisqr,RSS,TSS,Rsqrd,aic,bic
0,89,6.17628596881926,0.0007636363014022979,1.529044998047999e-05,-1.2584163711321465e-08,5.058445376640269,5.058445376640268,30.061663283988786,0.8317310213725114,-0.5451968197676624,1.0463842714258202
0,90,6.016417367501252,0.0027953950032968042,1.0433101393165758e-05,-9.508650222478619e-09,4.93518000638698,4.93518000638698,29.90230314108893,0.8349565254856399,-0.8165673763176287,0.775013714875854
0,91,6.993319265581291,0.0016129173806534094,8.278657020389069e-06,-7.0277775384617606e-09,1.3326812004987818,1.3326812004987818,15.846195044953356,0.9158989778481106,-15.217726615828141,-13.626145524634659
0,92,6.099764193553041,0.006961227012332257,-3.49733238755902e-08,-3.0723435997318227e-09,6.183656922760756,6.183656922760756,27.656175530316418,0.7764095431061213,1.6641601461358242,3.255741237329307
0,93,6.644957362810833,0.006707730125032373,-3.090362019693104e-06,-4.988122088108705e-10,0.3603377139306462,0.3603377139306461,4.505929866162437,0.9200303323323727,-16.80124107756358,-16.483474910844237
0,94,6.314043931253378,0.012466704222283458,-1.3864126171303631e-05,4.925143324323601e-09,2.2192901830973333,2.2192901830973333,17.299222600539412,0.8717115656383234,-9.6077865192307,-8.016205428037217
0,95,6.4980942202414935,0.014028982175000336,-1.8272103550744518e-05,7.719739453973314e-09,0.13293746150971186,0.13293746150971186,9.819979473224727,0.9864625519969588,-35.20461568552492,-33.99427531354874
0,96,6.449002956775874,0.012282340630263709,-1.5651500836824927e-05,6.918741821920903e-09,1.583209075705808,1.583209075705808,14.625708551555974,0.8917516323995547,-13.322855675012367,-11.731274583818884
0,97,6.019240462082294,0.011338967451328943,-9.204129531081692e-06,1.5897802947897289e-09,3.3170518642392306,3.31705186423923,21.464027868101905,0.8454599535267673,-5.187007647748835,-3.5954265565553527
0,98,5.817811406141186,0.016072069123144572,-2.063695239575389e-05,8.664910828460845e-09,4.72145810784427,4.72145810784427,23.07604580556737,0.7953957039422603,-1.3035535972915167,0.288027493901966
0,99,6.711738282144688,0.018224428349900425,-3.274621564336162e-05,1.823394831084506e-08,0.8214687522952973,0.8214687522952973,10.448523564853728,0.9213794420621765,-24.178816352711706,-22.239189753559707
0,100,6.372236599127261,0.017840645027088205,-2.9934570101075318e-05,1.5844210815941005e-08,2.18219563428111,2.18219563428111,13.347303000533007,0.8365066235333111,-12.454901297866307,-10.515274698714306
0,101,6.727757638778189,0.016255589233059056,-2.555166005352168e-05,1.2187228403849505e-08,1.0835358093027871,1.0835358093027874,10.91070914904655,0.9006906155685147,-24.301356962639915,-22.04155953279377
0,102,6.019520587193089,0.019774677822504638,-3.109273699884592e-05,1.5086543865502773e-08,2.068697007960777,2.068697007960777,14.876954957808156,0.8609462074848171,-15.894395370737069,-13.634597940890922
0,103,6.64477318632274,0.01752922181033486,-2.8783984512681352e-05,1.4372701020252162e-08,0.7561826028965948,0.7561826028965946,10.808572601713431,0.9300386248248247,-28.977482765688293,-26.717685335842148
0,104,7.5758533334341065,0.007829686571319532,-1.2357517727964697e-05,6.50987772291187e-09,1.5952016240259776,1.595201624025978,5.049384390952707,0.6840799787625202,-19.27333984916022,-17.01354241931407
0,105,7.53565368025123,0.006566403005939447,-9.534799744559878e-06,4.922929561850165e-09,1.3456281417604041,1.345628141760404,5.012417669341807,0.7315410984222507,-21.485149635907852,-19.225352206061707
0,106,7.620438598765633,0.00713321850114512,-1.0462816265210782e-05,5.0970610472348226e-09,1.3280921247363262,1.3280921247363262,4.388912568957447,0.6973983637473542,-21.655677191100526,-19.395879761254378
0,107,6.929285376346344,0.011012990505322189,-1.5529995346333146e-05,6.98290916521429e-09,1.7675973895171555,1.7675973895171555,8.867679992289593,0.8006696913900735,-24.07643475520642,-21.24423395079758
0,108,7.530259824264972,0.009447520816078536,-1.5031597370417088e-05,7.48760857687533e-09,1.0583351923070579,1.0583351923070579,4.695495276365112,0.7746062704749777,-21.138514595228703,-19.1988879960767
0,109,6.2856602238559,-0.00017574284402607215,1.4885599352280953e-05,-1.503957952271081e-08,5.71818741496069,5.71818741496069,11.624610152159908,0.5080964144076502,0.8033225656594833,2.394903656852966
0,110,6.815785056827355,-0.00839773802133476,3.388531656966921e-05,-2.6395287626253606e-08,8.537367508978342,8.537367508978342,16.43945028175465,0.4806780419869907,5.212131765904197,6.80371285709768
0,111,6.226115935845781,-0.001387533434801377,2.1463680560998067e-05,-2.0530209752409493e-08,6.063691740426236,6.063691740426237,15.710941461280372,0.6140465703236047,1.44865893875878,3.0402400299522627
0,112,6.248339547797643,-0.002517920855880422,1.7477076648271526e-05,-1.2966670790532803e-08,6.39987284327939,6.39987284327939,17.98326586698692,0.644120656914267,0.4564576657118531,2.3960842648638545
0,113,7.083699106675867,-0.0053202782970831084,2.0280261693476333e-05,-1.3994768434509505e-08,2.9278563950207896,2.9278563950207896,9.079880498254562,0.6775446113433303,-8.927633203697177,-6.988006604545175
0,114,0.3708042192994969,-0.011723434888108003,9.606514422130998e-05,-9.802608787315921e-08,0.08027938819303057,0.08027938819303057,48.43632704250082,0.9983425789465293,-34.475202579998594,-33.686304270653714
0,115,0.0756753095946774,-0.006499410563458675,8.865813289941638e-05,-1.0514035995096707e-07,0.9316040642266292,0.9316040642266292,37.86010768563291,0.9753935178430527,-9.20231136024595,-8.884545193526607
0,116,-0.20594856838362685,0.00025229457163436665,0.0002973739933811531,-7.117415441161737e-07,1.5366145236498978,1.5366145236498978,117.18827628820712,0.9868876429253826,-22.932659721591694,-20.376430403130662
0,117,-0.11046062562454709,-0.020016945616293493,0.0010062251444270772,-3.6347432738691196e-06,1.0066508933020417,1.0066508933020417,80.20081592950469,0.9874483709219758,-18.303930390184888,-16.712349298991406
0,118,0.5697567837661743,-0.01838167363888621,0.001801581848970613,-1.0117554434447551e-05,1.0138246297875415,1.0138246297875415,40.03648522297004,0.9746774816984713,-11.651451724468831,-10.862553415123953
0,119,1.350202234673825,-0.08354637013505625,0.008760323571950663,-9.888106727851874e-05,0.2531961992611084,0.2531961992611085,39.725656734402556,0.9936263810324415,-24.137336592802953,-23.348438283458073
0,120,-0.32682872605976837,0.0014471509876034677,4.880975091971012e-05,-5.359311746981102e-08,0.2045555192422636,0.20455551924226356,48.68204335559524,0.9957981320186563,-30.89500945602223,-29.684669084046046
0,121,-2.5855540848396403,0.02529313674730099,6.761730709614263e-06,-4.546465314307789e-08,0.06300455564784103,0.06300455564784103,18.34854654793657,0.9965662372502782,-19.337846275375266,-20.170808398463045
0,122,-0.2661564493019689,-0.004517044855540596,0.0002781244208820766,-5.954549518252354e-07,0.9244319215220279,0.9244319215220278,89.97659364154113,0.9897258622036206,-26.365827944329588,-24.106030514483443
0,123,-0.41152319247077057,0.04541135922422225,0.00021661016226029266,-1.2427893786484086e-06,0.3390978052592114,0.3390978052592114,77.8399389959597,0.9956436527362025,-39.40340877461053,-37.14361134476439
0,124,1.0024459047073222,-0.014418703277400578,0.0017353728775782776,-9.5209843916075e-06,0.16541874980228818,0.1654187498022882,75.39509356609148,0.9978059746068585,-43.41018150703526,-41.47055490788326
0,125,0.44692601126181675,0.003304203414971057,0.004529827800844514,-4.346462155045338e-05,0.4343163322620009,0.4343163322620009,53.94873151270692,0.9919494616447153,-19.280860403855183,-18.491962094510306
0,126,-0.49546687906044407,0.0019664619327346457,3.6528250936662725e-05,-4.9102179959054305e-08,1.5287932999754643,1.528793299975464,16.84854080608659,0.9092625695263068,-10.781063615980113,-9.57072324400393
0,127,-5.978268352986515,0.051908547877840244,-6.51495875293281e-05,1.7029959299537202e-08,0.36801769038625776,0.36801769038625776,24.46577349696443,0.9849578559029855,-12.618740935254973,-12.835100339033719
0,128,0.6765807947249627,-0.030445804435862634,0.00028517355651224726,-4.431174539769997e-07,0.3968021462199723,0.3968021462199723,65.04599335412207,0.99389966813083,-37.36046907895216,-35.10067164910601
0,129,-2.3273702395964024,0.08718498350524169,-0.00027792077200945064,2.7170189007208336e-07,0.7734233296602613,0.7734233296602613,50.16583185527485,0.9845826671051416,-24.90202461985843,-22.96239802070643
0,130,-2.2944864193619217,0.12206064216948845,-0.00011222196607953745,-1.92746654941596e-06,0.26856296120295003,0.26856296120295003,72.27690685472676,0.9962842493835168,-32.83821690239115,-31.24663581119767
0,131,-0.5149945411124517,0.09294014637957694,0.0023100234523443816,-2.6728813434672825e-05,0.1827709386627536,0.18277093866275362,57.164402903218374,0.9968027141126237,-27.070715699251743,-26.281817389906863
0,132,-1.8787246519232026,0.02758369966579028,-1.1332992556129652e-05,-2.0490572589928934e-08,2.448054448178073,2.4480544481780733,62.49931756351849,0.9608307011402148,-8.52861833142114,-6.9370372402276566
0,133,-2.4820990323258254,0.03756715364691194,-2.1823177110666035e-05,-2.9650693060875143e-08,1.0140636090760191,1.0140636090760191,45.98365184115997,0.9779473015197038,-5.52361160506733,-5.739971008846077
0,134,-3.0424823011667015,0.028501207510777987,0.0001436662881096287,-4.483422785040096e-07,0.18307134172583264,0.18307134172583264,37.66938299553162,0.9951400493672129,-32.00464449608421,-30.794304124108027
0,135,-0.8782811173300193,0.03569868485902096,0.0004357608219009457,-2.0448564844704855e-06,1.4090077156169305,1.4090077156169303,105.68900671093952,0.9866683606983783,-20.88682743189863,-18.627030002052486
0,136,-0.35576141678016737,0.07543618768243407,0.0005925781078650676,-4.98981128659355e-06,0.7146123133727772,0.7146123133727771,98.75671496923982,0.9927639116631678,-25.85106102626915,-23.91143442711715
0,137,0.05177957758217473,0.07910656972681143,0.003214411824961586,-3.816869914621914e-05,0.22378923657271704,0.22378923657271704,67.39221199346805,0.996679301213701,-25.24847639997494,-24.45957809063006
0,138,-0.5438853451937962,0.012218500463656488,2.6750971602095965e-05,-4.815019351512149e-08,3.5300199946587036,3.5300199946587036,57.827372782241575,0.9389558988275056,-4.5025091142593645,-2.910928023065882
0,139,-1.8244860247423955,0.02034701975426324,2.6146045177339365e-05,-8.030145080091738e-08,1.009157710501554,1.009157710501554,27.136552141924145,0.9628118669894518,-5.557558812912502,-5.773918216691249
0,140,0.443699851888057,-0.027322073817043466,0.0003783753217415453,-7.671435001868178e-07,0.17106483225526686,0.1710648322552669,41.3424071046147,0.9958622430517314,-37.79968724249628,-36.2081061513028
0,141,-0.6791666051035306,0.02393366533375672,0.00047887985291917553,-2.185529428726731e-06,1.552319237776349,1.5523192377763488,71.65436205639776,0.978336012027369,-19.62759041131944,-17.367792981473293
0,142,-0.3414962025195578,0.0758128939095511,0.000180026885365615,-2.5455880035107948e-06,0.19118169681159403,0.19118169681159403,60.046966724708525,0.9968161306517266,-41.67325192849463,-39.73362532934263
